dataset_run_id,jira_issue_key,jira_shadow_issue_id,query_text,candidate_episode_id,candidate_scenario_id,candidate_severity,candidate_incident_type,candidate_root_cause_category,candidate_services,label,bm25_raw,text_score,service_overlap,severity_match,incident_term_match,telemetry_strength,baseline_score,raw_telemetry_bm25_raw,raw_telemetry_text_score,raw_telemetry_service_overlap,raw_telemetry_activity_signal,raw_telemetry_alert_signal,raw_telemetry_log_signal,raw_telemetry_trace_signal,raw_telemetry_query_service_delta_signal,raw_telemetry_restart_signal,raw_telemetry_outage_signal,raw_telemetry_traffic_pressure_signal,raw_telemetry_latency_signal,raw_telemetry_restart_event_signal,raw_telemetry_rollout_unavailable_signal,raw_telemetry_recovery_complete_signal,raw_telemetry_recovery_incomplete_signal,raw_telemetry_service_local_delta_signal,raw_telemetry_shape_alignment,raw_telemetry_confusion_penalty,raw_telemetry_score,provenance_alert_overlap_count,provenance_trace_overlap_count,window_count,alert_fingerprint_count,trace_count,exact_log_entries,service_context_log_entries,namespace_context_log_entries,scoring_policy,rank,raw_telemetry_rank,query_id,query_dataset_run_id,original_jira_issue_key,candidate_dataset_run_id,candidate_original_jira_issue_key,candidate_same_dataset_run,candidate_scope,candidate_scenario_family,candidate_service_overlap_bucket,global_candidate_count_for_query,split,source_dataset_run_id
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-baseline-normal-traffic-20260519T015715Z,baseline-normal-traffic,none,baseline,none,"[""checkoutservice"",""frontend"",""productcatalogservice""]",0,1.208155,0.312163,1.0,0.0,0.0,0.837514,0.48844,0.05291,0.949853,1.0,0.714551,0.650515,0.832553,0.668107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718049,7,0,3,7,100,2138,5343,15000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,16,27,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,,True,same_run_negative,baseline,exact_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,productcatalog-latency-major,major,degradation,dependency_latency,"[""checkoutservice"",""frontend"",""productcatalogservice""]",1,1.793198,0.463327,1.0,1.0,0.0,1.0,0.67483,0.04795,0.860814,1.0,0.845005,0.874094,0.994876,0.899946,0.520696,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.520696,0.520696,0.239652,0.803319,10,500,9,10,500,9538,16377,45000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,12,16,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,True,positive,latency,exact_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-paymentservice-unavailable-critical-20260519T020455Z,paymentservice-unavailable-critical,critical,outage,dependency_failure,"[""checkoutservice"",""frontend"",""paymentservice""]",0,0.249281,0.064409,0.5,0.0,0.0,1.0,0.205425,0.042991,0.771788,0.5,0.853552,0.919425,1.0,0.899946,0.866197,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.866197,0.866197,0.133803,0.729131,10,0,9,14,500,10824,16439,45000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,58,22,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1002,True,same_run_negative,outage_or_degradation,partial_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-recommendationservice-pod-restart-nearmiss-20260519T020954Z,recommendationservice-pod-restart-nearmiss,minor,near_miss,workload_restart,"[""frontend"",""recommendationservice""]",0,0.007963,0.002057,0.25,0.0,0.0,1.0,0.096132,0.048857,0.877103,0.25,0.862769,0.885426,1.0,0.926291,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.511427,7,0,6,14,600,12398,22563,30000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,67,53,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,,True,same_run_negative,near_miss,partial_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-checkoutservice-pod-restart-major-20260519T021418Z,checkoutservice-pod-restart-major,major,degradation,workload_restart,"[""cartservice"",""checkoutservice"",""frontend"",""paymentservice""]",0,1.122981,0.290156,0.4,1.0,0.0,1.0,0.399586,0.042577,0.764361,0.4,0.876071,0.979521,1.0,0.926291,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.517455,7,0,12,14,600,14207,28025,60000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,46,52,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1003,True,same_run_negative,restart,partial_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-cart-redis-degradation-critical-20260519T021846Z,cart-redis-degradation-critical,critical,outage,dependency_failure,"[""cartservice"",""checkoutservice"",""frontend"",""redis-cart""]",0,0.240999,0.062269,0.4,0.0,0.0,1.0,0.174248,0.043703,0.784581,0.4,0.877264,0.874094,1.0,0.899946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.439992,7,0,12,7,500,16939,31076,60000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,63,66,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1004,True,same_run_negative,outage_or_degradation,partial_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-bad-config-critical-20260519T022439Z,productcatalog-bad-config-critical,critical,degradation,bad_configuration,"[""checkoutservice"",""frontend"",""productcatalogservice""]",0,0.877274,0.22667,1.0,0.0,0.0,0.989342,0.444456,0.05106,0.916649,1.0,0.844621,0.874094,0.981907,0.926291,0.671211,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.671211,0.671211,0.164394,0.861395,8,0,9,10,600,8464,15759,45000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,37,10,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1005,True,same_run_negative,configuration,exact_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-loadgenerator-noisy-high-traffic-nearmiss-20260519T023029Z,loadgenerator-noisy-high-traffic-nearmiss,minor,near_miss,traffic_pressure,"[""checkoutservice"",""frontend"",""productcatalogservice""]",0,3.822969,0.987779,1.0,0.0,0.0,1.0,0.863279,0.048508,0.870841,1.0,0.850512,0.956907,1.0,0.826189,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.934686,7,0,9,15,300,11587,17932,45000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,2,6,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,,True,same_run_negative,near_miss,exact_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-nearmiss-20260519T023453Z,productcatalog-latency-nearmiss,minor,near_miss,dependency_latency,"[""frontend"",""productcatalogservice""]",0,0.824777,0.213106,0.666667,0.0,0.0,0.988741,0.336983,0.055517,0.996658,0.666667,0.845654,0.916254,0.981264,0.926291,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.734214,8,0,6,17,600,8414,15031,30000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,49,20,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,,True,same_run_negative,near_miss,partial_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
2026-05-19-dataset-v3-compact-compact-a-r01,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,shadow-2026-05-19-dataset-v3-compact-compact-a-r01-productcatalog-latency-major-20260519T015906Z,Intermittent slowness reported around checkoutservice Incident Major checkoutservice frontend productcatalogservice,2026-05-19-dataset-v3-compact-compact-a-r01-baseline-normal-traffic-20260519T023838Z,baseline-normal-traffic,none,baseline,none,"[""checkoutservice"",""frontend"",""productcatalogservice""]",0,1.1367,0.293701,1.0,0.0,0.0,0.837465,0.478285,0.050344,0.903792,1.0,0.733266,0.650515,0.827301,0.767732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705525,7,0,3,7,200,2037,5240,15000,global_hard_negative_v1_wrapped_label_aware_baseline_v0_and_raw_telemetry_v1,26,33,2026-05-19-dataset-v3-compact-compact-a-r01::OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,OBSRV-1001,2026-05-19-dataset-v3-compact-compact-a-r01,,True,same_run_negative,baseline,exact_service_overlap,69,train,2026-05-19-dataset-v3-compact-compact-a-r01
